spf_fail,dkim_fail,dmarc_fail,has_suspicious_url,has_dangerous_attachment,subject_length,body_length,label
1,1,0,0,1,98,2108,1
0,0,0,1,1,115,4438,0
0,1,1,0,0,89,399,0
1,0,1,1,1,6,4866,1
0,0,1,1,1,100,2870,1
1,1,1,1,1,5,1079,1
0,1,0,1,0,55,1740,1
0,1,1,1,0,19,4923,1
0,1,0,0,1,55,724,1
1,0,1,0,1,37,1177,1
0,1,1,0,1,17,2102,1
1,0,0,1,0,15,4021,1
0,1,1,0,1,43,154,1
1,1,1,0,1,62,4014,1
1,1,1,1,1,116,283,1
1,1,1,0,1,57,4126,1
0,1,1,0,1,72,1307,1
0,0,0,0,0,97,452,0
1,0,0,0,1,97,2053,1
0,0,0,0,1,19,4965,0
1,0,0,1,1,12,1457,1
0,1,0,0,0,69,2404,0
0,1,0,0,1,96,2725,1
0,1,0,1,1,86,1796,1
0,1,0,1,1,64,1600,1
0,1,1,1,1,63,850,1
1,0,0,1,0,43,78,1
1,0,1,0,0,24,575,0
0,1,0,1,0,92,936,1
0,0,1,1,1,29,3476,1
1,0,0,1,1,52,2738,1
1,0,1,0,1,71,2678,1
0,1,1,0,1,53,918,1
1,1,0,1,1,12,716,1
1,1,0,0,1,90,1961,1
1,1,0,0,1,6,3061,1
0,0,0,1,1,109,948,0
1,0,0,0,1,48,3391,1
0,0,1,0,1,109,2429,1
1,1,1,1,0,112,4488,1
1,1,0,0,0,89,3013,0
1,1,1,0,1,67,3849,1
0,0,0,0,0,68,2202,0
1,0,0,1,1,55,4113,1
0,0,0,1,1,61,1075,0
0,1,0,0,0,56,1986,0
0,0,1,0,0,29,1205,0
0,0,0,0,0,54,4517,0
0,1,1,0,1,33,88,1
0,1,0,0,1,104,161,1
0,1,0,1,0,67,3907,1
0,0,1,1,0,17,3140,1
1,0,1,0,1,49,2508,1
1,0,1,0,1,74,3905,1
1,0,1,1,1,105,4625,1
1,1,1,1,0,51,2798,1
0,0,0,0,0,95,2256,0
0,0,1,1,0,111,984,1
0,1,0,0,0,93,3416,0
0,1,0,1,1,111,2027,1
0,1,1,0,0,92,1281,0
0,1,1,0,1,83,4693,1
1,0,0,0,0,22,2977,0
1,1,0,0,0,16,608,0
1,1,0,1,0,73,2640,1
0,0,0,1,1,90,4099,0
1,0,0,1,1,111,157,1
1,0,0,0,0,30,2983,0
1,0,0,0,1,42,1632,1
1,1,0,0,0,85,1091,0
0,0,0,0,0,105,1689,0
0,0,1,1,0,84,3728,1
1,0,1,1,1,8,427,1
0,0,1,0,1,35,2440,1
0,1,0,0,1,103,4554,1
1,1,0,0,1,102,3791,1
0,1,1,1,0,100,3663,1
0,0,0,1,0,69,3714,0
0,1,0,0,0,90,1832,0
1,0,1,1,0,47,121,1
0,1,0,0,0,88,2649,0
0,1,1,0,1,105,1900,1
1,1,1,1,0,42,900,1
1,1,0,0,1,108,2154,1
1,1,1,1,1,80,4816,1
1,0,0,1,1,6,1530,1
1,0,1,0,0,56,4941,0
1,1,1,1,0,45,1993,1
0,0,1,1,0,92,3539,1
0,0,0,1,1,115,3485,0
0,1,1,1,1,98,3370,1
1,0,0,1,1,75,3061,1
1,0,0,1,0,79,3675,1
0,1,1,1,0,79,2772,1
0,0,0,0,1,86,4464,0
0,1,1,1,0,56,3466,1
1,0,1,0,1,115,1543,1
1,1,1,1,0,63,3818,1
0,1,1,0,0,30,114,0
0,0,1,1,1,45,1806,1
0,0,1,1,0,103,1687,1
0,0,1,0,0,103,1416,0
0,0,1,0,0,57,1584,0
1,1,1,0,0,31,2713,0
1,1,1,0,1,66,3258,1
1,1,1,0,0,61,487,0
1,0,1,0,1,53,4073,1
1,1,1,0,1,108,4561,1
1,0,0,1,0,17,4002,1
0,0,1,1,0,14,3766,1
1,0,0,0,1,108,4554,1
1,0,1,0,1,69,4828,1
0,1,0,0,1,66,4281,1
0,1,1,1,1,68,2674,1
1,1,1,1,1,12,4042,1
0,0,0,0,1,120,3217,0
0,1,1,0,1,118,1767,1
1,1,1,1,0,113,3966,1
1,1,1,0,1,50,2986,1
1,0,0,1,1,61,4257,1
0,1,0,0,1,59,79,1
0,0,0,0,1,90,2981,0
1,0,0,0,1,61,2256,1
0,0,1,0,0,77,3490,0
0,0,0,0,0,100,2971,0
0,1,0,0,1,46,439,1
0,1,1,0,0,93,1846,0
1,0,1,1,1,114,866,1
1,0,0,0,1,108,3607,1
1,0,0,0,0,7,3214,0
1,1,0,0,1,50,4228,1
0,1,0,1,0,102,2856,1
0,1,0,0,1,53,1970,1
0,0,1,0,0,95,3433,0
1,1,1,1,0,19,212,1
0,1,1,1,0,80,1630,1
1,1,1,0,0,92,1952,0
1,1,0,0,1,45,2853,1
1,1,1,0,0,83,2288,0
1,1,0,1,1,39,1959,1
0,0,0,1,0,7,4481,0
0,1,0,1,1,25,2158,1
0,1,0,1,1,20,2700,1
1,1,1,0,1,92,997,1
0,0,0,1,0,38,861,0
1,1,1,0,0,14,3096,0
1,0,1,1,0,31,2785,1
1,0,0,0,1,78,1388,1
1,0,1,0,1,68,4754,1
0,1,1,0,1,46,2356,1
1,0,1,1,0,100,3682,1
0,1,1,1,1,75,809,1
0,1,1,1,0,93,2054,1
0,0,1,1,0,61,2473,1
1,0,0,0,1,73,105,1
1,1,1,0,0,14,2610,0
1,0,1,1,1,15,1778,1
0,1,1,1,1,28,2400,1
1,1,0,1,0,118,4223,1
0,0,1,0,1,46,505,1
1,1,0,0,0,58,3111,0
1,0,0,1,0,97,1336,1
0,1,1,0,1,59,4905,1
0,0,1,0,1,56,987,1
0,1,0,1,1,112,3808,1
0,0,1,0,0,110,4179,0
1,0,0,0,1,9,505,1
1,1,0,1,0,115,4492,1
1,0,0,1,1,49,3885,1
1,0,0,1,1,39,1910,1
1,1,1,0,0,9,3180,0
1,0,1,0,0,6,708,0
1,0,1,0,0,37,4317,0
1,1,1,1,0,39,4803,1
0,0,0,1,0,77,4666,0
1,0,1,1,1,89,2650,1
0,0,1,1,1,84,3178,1
0,1,0,1,0,107,3666,1
0,1,1,1,1,80,3655,1
0,0,0,1,0,45,4807,0
0,1,1,1,1,119,2843,1
0,0,1,1,0,8,761,1
1,0,0,1,0,46,4220,1
0,1,0,1,0,96,4731,1
0,1,1,0,0,15,4418,0
1,1,1,1,1,38,3650,1
1,1,0,0,0,81,4160,0
0,0,1,1,0,119,3571,1
1,0,0,0,1,71,3152,1
1,0,1,0,0,47,2761,0
1,1,0,1,0,17,2384,1
0,1,1,1,0,107,3148,1
1,1,1,1,0,118,3508,1
0,0,0,1,1,85,2560,0
0,1,1,1,0,86,4887,1
0,1,1,1,0,21,2312,1
1,1,1,1,0,81,4967,1
0,0,1,0,1,111,1217,1
0,0,1,1,0,91,1836,1
1,1,0,0,0,65,2941,0
1,1,0,1,0,27,457,1
1,1,0,1,0,10,4392,1
0,0,0,1,1,22,1525,0
0,0,0,1,0,88,3197,0
0,0,0,0,1,47,1236,0
1,0,1,1,1,95,1074,1
1,0,1,1,0,75,1726,1
1,1,1,1,0,11,1918,1
0,1,1,1,1,112,3931,1
0,1,1,1,1,77,269,1
0,1,1,0,0,75,3770,0
0,1,1,1,0,39,515,1
0,0,1,1,1,33,3171,1
1,0,1,0,0,67,2631,0
1,1,1,1,1,102,1685,1
1,0,0,1,0,111,4389,1
0,0,0,1,0,33,4204,0
1,0,1,1,1,40,1835,1
1,1,0,0,1,100,4421,1
1,0,1,0,0,31,3988,0
0,1,1,1,1,35,4230,1
0,0,0,1,1,28,2439,0
1,1,0,1,1,6,2741,1
1,0,0,1,1,103,4754,1
1,1,0,0,0,66,1508,0
1,0,0,1,1,119,1396,1
0,0,1,0,1,25,3027,1
